[Error  - 22:41:00.534] Getting token failed: Error: Unknown or unsupported transport “disabled” for address “disabled:”
[Info  - 03:17:50.452] Logging in...
[Info  - 03:18:38.43] Logging in...
[Info  - 03:18:42.521] Logging in...
[Info  - 03:18:57.671] Logging in...
[Info  - 03:19:07.727] Logging in...
[Info  - 03:19:18.167] Logging in...
[Info  - 03:20:07.84] Logging in...
[Info  - 03:20:21.607] Logging in...
[Info  - 03:20:33.977] Logging in...
[Info  - 03:20:58.698] Logging in...
[Info  - 03:22:11.808] Treating input as token
[Info  - 03:23:10.847] Treating input as token
[Info  - 03:23:21.7] Logging in...
