[Error  - 04:00:42.574] Getting token failed: Error: Unknown or unsupported transport “disabled” for address “disabled:”
[Info  - 04:01:09.3] Logging in...
[Info  - 04:01:32.113] Logging in...
[Info  - 04:02:35.937] Treating input as token
[Info  - 04:07:16.369] Logging in...
[Info  - 04:07:42.526] Logging in...
[Info  - 04:08:10.428] Treating input as token
[Info  - 04:09:20.408] Logging in...
[Info  - 04:11:24.699] Logging in...
[Info  - 04:11:37.146] Logging in...
[Info  - 04:13:00.161] Logging in...
[Info  - 04:13:03.989] Logging in...
[Info  - 04:13:13.759] Logging in...
[Info  - 04:13:33.322] Logging in...
